City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Pirovskoye,RU,2021-10-25 20:57:43,57.6267,92.2658,41.54,71,100,16.33
258,Nadvoitsy,RU,2021-10-25 20:57:43,63.8667,34.3167,33.46,99,100,2.04
259,Airai,TL,2021-10-25 20:57:44,-8.9266,125.4092,59.5,83,63,2.08
260,Altay,CN,2021-10-25 20:57:44,47.8667,88.1167,39.29,39,13,8.12
261,Acari,PE,2021-10-25 20:57:44,-15.4311,-74.6158,72.03,57,34,8.34
262,Ukiah,US,2021-10-25 20:57:45,39.1502,-123.2078,61.56,75,35,5.01
263,Rio Grande,BR,2021-10-25 20:57:45,-32.035,-52.0986,84.31,65,0,10.65
264,Salalah,OM,2021-10-25 20:57:46,17.0151,54.0924,76.24,71,93,2.01
265,Villa Aglipay,PH,2021-10-25 20:57:46,15.4661,120.4527,73.51,84,57,3.24
266,Kilindoni,TZ,2021-10-25 20:57:47,-7.9139,39.6668,79.02,83,75,10.76
267,Freetown,SL,2021-10-25 20:54:24,8.484,-13.2299,82.11,78,40,4.61
268,Hilo,US,2021-10-25 20:54:36,19.7297,-155.09,88.29,89,41,3.0
269,Berdigestyakh,RU,2021-10-25 20:52:59,62.0989,126.6992,32.05,98,100,5.28
270,Pasighat,IN,2021-10-25 20:57:48,28.0667,95.3333,67.05,79,5,3.44
271,Koroni,GR,2021-10-25 20:57:48,36.8,21.95,60.51,68,76,12.26
272,Rawson,AR,2021-10-25 20:57:48,-43.3002,-65.1023,67.42,27,100,25.88
273,Wajir,KE,2021-10-25 20:57:49,1.7471,40.0573,80.1,66,79,8.14
274,Ialibu,PG,2021-10-25 20:57:49,-6.2821,143.9935,54.23,95,100,1.83
275,Peterhead,GB,2021-10-25 20:57:50,57.5058,-1.7981,45.12,72,3,11.43
276,Merauke,ID,2021-10-25 20:57:50,-8.4667,140.3333,78.33,88,95,8.66
277,Narsaq,GL,2021-10-25 20:57:51,60.9167,-46.05,31.26,46,37,10.89
278,Mandalgovi,MN,2021-10-25 20:57:51,45.7625,106.2708,30.18,65,0,8.01
279,Bam,IR,2021-10-25 20:57:51,29.106,58.357,65.17,16,0,4.7
280,Sakakah,SA,2021-10-25 20:57:52,29.9697,40.2064,74.77,25,0,7.07
281,Mar Del Plata,AR,2021-10-25 20:57:52,-38.0023,-57.5575,66.22,43,0,8.99
282,San Jose,US,2021-10-25 20:57:47,37.3394,-121.895,66.38,56,14,1.01
283,Samarai,PG,2021-10-25 20:57:53,-10.6167,150.6667,81.95,78,37,9.06
284,Kostrzyn,PL,2021-10-25 20:57:53,52.3985,17.2281,44.67,76,100,3.0
285,Savonlinna,FI,2021-10-25 20:57:54,61.8699,28.88,42.85,93,90,6.91
286,Maceio,BR,2021-10-25 20:56:55,-9.6658,-35.7353,80.04,83,20,9.22
287,Castro,BR,2021-10-25 20:57:54,-24.7911,-50.0119,64.27,82,75,3.09
288,Rorvik,NO,2021-10-25 20:57:55,64.8621,11.2373,46.51,87,75,6.91
289,Broome,US,2021-10-25 20:57:55,42.2506,-75.833,69.93,63,28,1.99
290,Lazaro Cardenas,MX,2021-10-25 20:57:56,17.9583,-102.2,75.69,95,100,6.98
291,Ahipara,NZ,2021-10-25 20:53:02,-35.1667,173.1667,66.45,65,13,3.38
292,Vilcun,CL,2021-10-25 20:57:56,-38.65,-72.2333,54.34,72,87,3.69
293,Caldas Da Rainha,PT,2021-10-25 20:55:56,39.4033,-9.1384,62.85,82,1,7.0
294,Mocuba,MZ,2021-10-25 20:57:57,-16.8392,36.9856,76.91,86,66,8.25
